[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acx$1.class [ 90/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acx.class [ 91/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acy.class [ 92/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acz.class [ 93/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ad.class [ 94/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ada.class [ 95/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\adb.class [ 96/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\adc.class [ 97/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\add.class [ 98/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ade.class [ 99/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\adf.class [ 100/4976 | 2% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\adg$a.class [ 101/4976 | 2% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\adg$b.class [ 102/4976 | 2% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\adg.class [ 103/4976 | 2% ]
